Serial,Description,Stream Type,avg_days_to_fill,avg_fill_percent,estimated_days_to_80
1513538,820 Comm Ave  Booth Theatre - Front Entrance,Single Stream,22.695767195767196,41.395348837209305,43.86148267047143
1513538,820 Comm Ave  Booth Theatre - Front Entrance,Waste,12.900887345679013,33.333333333333336,30.96212962962963
1513539,275 Babcock – main entrance,Single Stream,13.548504273504275,54.46153846153846,19.901757689893287
1513539,275 Babcock – main entrance,Waste,11.276779513888888,36.326530612244895,24.834256008114856
1513540,820 Comm Ave. Right side of Bldg,Single Stream,25.994505718954247,48.8235294117647,42.59340696117805
1513540,820 Comm Ave. Right side of Bldg,Waste,15.445424836601305,40.0,30.89084967320261
1513541,820 Comm Ave College of Art Entrance (recy 9521078),Single Stream,22.274356368563687,38.53658536585366,46.24043600562588
1513541,820 Comm Ave College of Art Entrance (recy 9521078),Waste,17.8171875,27.586206896551722,51.669843750000005
1517448,610 Beacon St,Single Stream,2.4372048611111112,68.58333333333333,2.8429121101660595
1517448,610 Beacon St,Waste,2.436793884220355,36.64804469273743,5.319342747261507
1522343,Ashford and Babcock Dock,Single Stream,189.73472222222222,20.0,758.9388888888889
1522343,Ashford and Babcock Dock,Waste,153.9333333333333,30.0,410.4888888888888
1526378,700 Albany St City Convenience,Single Stream,2.25695987654321,50.303030303030305,3.5893819723337796
1526378,700 Albany St City Convenience,Waste,0.8878725405092592,10.441558441558442,6.802605534250045
1526379,700 Comm Ave Starbucks,Single Stream,1.916808712121212,59.675324675324674,2.5696499818643455
1526379,700 Comm Ave Starbucks,Waste,1.8587847972162228,44.827586206896555,3.317215945801259
1526380,675 Comm Ave,Single Stream,2.895993814192344,54.45378151260504,4.254608196159123
1526380,675 Comm Ave,Waste,2.790165852665853,46.13138686131387,4.838642048293948
1526381,725 Comm Ave w/ recy 9521068,Single Stream,2.7389760245035912,61.666666666666664,3.553266193950605
1526381,725 Comm Ave w/ recy 9521068,Waste,2.370879171250458,55.31353135313531,3.4290042429063905
1526382,100 Bay State Rd @ Deerfield St Entrance,Single Stream,3.0574906675450153,49.24901185770751,4.966581951132513
1526382,100 Bay State Rd @ Deerfield St Entrance,Waste,2.770879058070416,27.295081967213115,8.121255137167346
1526383,700 Comm Ave Subway,Single Stream,2.105769917827796,67.71704180064309,2.4877281840244807
1526383,700 Comm Ave Subway,Waste,1.9158032128514058,37.88461538461539,4.045553992620228
1526384,815 Albany St.,Single Stream,9.090639467592593,51.25,14.190266485998196
1526384,815 Albany St.,Waste,10.313280355097366,12.244897959183673,67.38009831996945
1526385,685 Comm Ave,Single Stream,3.3173757618377873,57.29957805907173,4.631623302241859
1526385,685 Comm Ave,Waste,2.89158024691358,44.60176991150443,5.1864852047815
1526386,Agganis Arena Garage P2 East (Weak/No Signal-Frequent SNC),Waste,16.92926051051051,38.4,35.269292730230234
1526387,775 Comm Ave @ Front Entrance,Single Stream,3.4723451074531324,52.21311475409836,5.320265031199776
1526387,775 Comm Ave @ Front Entrance,Waste,2.8661507936507937,40.666666666666664,5.63832943013271
1526388,590 Comm Ave. Courtyard,Single Stream,4.191230738037307,54.306569343065696,6.1741786140979675
1526388,590 Comm Ave. Courtyard,Waste,3.5891450364298723,28.489795918367346,10.078401534960673
1526389,700 Comm Ave Citizens Bank,Single Stream,2.331903190319032,56.633663366336634,3.2940170940170943
1526389,700 Comm Ave Citizens Bank,Waste,2.036993911719939,31.092896174863387,5.241052876551829
1526390,72 E Concord St Rear Entrance in Courtyard,Single Stream,2.272391010802469,59.09722222222222,3.0761391826609215
1526390,72 E Concord St Rear Entrance in Courtyard,Waste,1.3028985998193314,16.2012987012987,6.4335514027150955
1526391,595 Comm ave Right Entrance,Single Stream,3.0364954780361755,45.395348837209305,5.351201047358834
1526391,595 Comm ave Right Entrance,Waste,3.1416149237472766,26.09375,9.631777490770093
1526392,617 Comm Ave,Single Stream,2.818904320987654,48.22222222222222,4.676523297491039
1526392,617 Comm Ave,Waste,4.55791719677693,37.18631178707224,9.805580554211309
1526393,565 Comm Ave,Single Stream,4.298367003367003,43.39393939393939,7.924363749224086
1526393,565 Comm Ave,Waste,3.03547335600907,24.715447154471544,9.825347968134622
1526394,140  Bay State Rd,Single Stream,1.5916645622895622,81.57575757575758,1.5609191844147265
1526394,140  Bay State Rd,Waste,1.582520009416196,41.31979695431472,3.0639453744962224
1526395,755 Comm Ave,Single Stream,3.2618572984749457,53.59375,4.869011477606916
1526395,755 Comm Ave,Waste,3.425777304292929,44.88636363636363,6.105689170182842
1526396,Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance,Single Stream,4.387208251150558,49.23076923076923,7.129213408119656
1526396,Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance,Waste,4.383699727334697,48.90243902439025,7.171339204816861
1526397,575 Comm Ave,Single Stream,3.226539535567313,42.53968253968254,6.067820619126588
1526397,575 Comm Ave,Waste,3.3724250000000002,27.808764940239044,9.701761318051577
1526398,East Concord St & Boston Medical Center Pl - On Pathway,Single Stream,2.1028125,65.26666666666667,2.5775025536261493
1526398,East Concord St & Boston Medical Center Pl - On Pathway,Waste,1.2221975308641975,28.757396449704142,3.4000227607580142
1526399,Boston Medical Center Campus Park - Behind 715 Albany St @ E Concord St,Single Stream,2.6414986047691524,44.018264840182646,4.800731904103273
1526399,Boston Medical Center Campus Park - Behind 715 Albany St @ E Concord St,Waste,1.9894038170823884,12.805429864253394,12.428501585164884
1526401,549 Comm Ave @ Deerfield,Single Stream,3.395099875156055,51.79775280898876,5.243624969872259
1526401,549 Comm Ave @ Deerfield,Waste,3.536215277777778,28.29875518672199,9.996807999348324
1526402,635 Comm Ave,Single Stream,2.450159642401022,53.333333333333336,3.6752394636015326
1526402,635 Comm Ave,Waste,4.396631205673758,38.303886925795055,9.182631964617515
1526454,728 Comm Ave,Single Stream,2.0379530965391623,65.8360655737705,2.476397189021691
1526454,728 Comm Ave,Waste,1.8839731585518102,42.73542600896861,3.526766122619548
1526455,925 Comm Ave Aggnis Arena,Single Stream,2.5239061754887935,70.64377682403433,2.8581780747941137
1526455,925 Comm Ave Aggnis Arena,Waste,2.5708210059171597,49.6165191740413,4.14510497505787
1526457,154 Riverway,Single Stream,3.5393055555555555,45.0,6.292098765432099
1526457,154 Riverway,Waste,1.350462962962963,21.11111111111111,5.117543859649123
1526457,700 Comm Ave Garage - 3A,Single Stream,6.664814814814815,81.42857142857143,6.547888239116309
1526457,700 Comm Ave Garage - 3A,Waste,14.42810763888889,40.0,28.85621527777778
1526458,44 Cummington Mall,Single Stream,4.274091544374563,53.20754716981132,6.42629366955608
1526458,44 Cummington Mall,Waste,4.618970392548237,34.285714285714285,10.777597582612552
1526459,610 Comm Ave,Single Stream,2.344816375364128,59.9250936329588,3.1303298611111114
1526459,610 Comm Ave,Waste,2.1997537037037036,40.0531914893617,4.393664768088141
1526460,New Balance Field Inside Gate - 278 Babcock St,Single Stream,9.970833333333333,87.2,9.14755351681957
1526460,New Balance Field Inside Gate - 278 Babcock St,Waste,20.903703703703705,24.615384615384617,67.93703703703704
1526461,745 Comm Ave (Behind Building),Single Stream,4.661029411764706,62.481751824817515,5.9678600879604184
1526461,745 Comm Ave (Behind Building),Waste,4.02475,48.1,6.693970893970894
1526462,745 Comm Ave,Single Stream,2.2091666666666665,20.0,8.836666666666666
1526462,745 Comm Ave,Waste,4.75344222960502,54.23841059602649,7.011182189698247
1526463,718 Comm Ave,Single Stream,1.9142969644902637,64.19243986254295,2.385697715917202
1526463,718 Comm Ave,Waste,1.935200119474313,43.90557939914163,3.526112436657008
1526464,509 Park Dr @ Buswell,Single Stream,1.5935763888888888,63.35,2.0124090151714458
1526464,509 Park Dr @ Buswell,Waste,1.9012309873678783,50.416666666666664,3.0168293353275426
1526465,771 Comm Ave,Single Stream,3.9446719348659003,52.01716738197425,6.066723173754157
1526465,771 Comm Ave,Waste,2.9353338068181816,32.84090909090909,7.150432525951556
1526467,Campus Center,Single Stream,2.73732486151841,38.94736842105263,5.622613229064842
1526467,Campus Center,Waste,1.226454658000619,4.289693593314763,22.872582972582972
1526468,Babcock St & Ashford St - Pedestrian Garage Entrance,Single Stream,2.4421482545764155,64.13793103448276,3.0461204035576794
1526468,Babcock St & Ashford St - Pedestrian Garage Entrance,Waste,2.6041755698005695,52.9073482428115,3.9377147504713923
1526469,33 Agganis Way,Single Stream,2.3347463348765434,62.986111111111114,2.965411000857528
1526469,33 Agganis Way,Waste,2.5888912037037035,53.222591362126245,3.8914169903361535
1526470,35 Pilgrim Rd,Single Stream,2.5483395304753573,37.32283464566929,5.46226363494296
1526470,35 Pilgrim Rd,Waste,1.1569969512195122,3.6009732360097324,25.70409442979565
1526471,285 Babcock St Rear Field,Single Stream,5.968949394939495,61.568627450980394,7.75583233482584
1526471,285 Babcock St Rear Field,Waste,6.1926499999999995,33.12,14.958091787439614
1526472,1 University Rd @ Comm Ave,Single Stream,8.110948129251701,52.244897959183675,12.419889322916667
1526472,1 University Rd @ Comm Ave,Waste,6.377875,34.45544554455446,14.808399425287355
1526473,233 Bay State Rd - Rear Left of Building,Single Stream,6.262998737373738,53.333333333333336,9.394498106060606
1526473,233 Bay State Rd - Rear Left of Building,Waste,6.191999299719888,38.8235294117647,12.759271284271286
1526474,BU boathouse 619 Memorial Drive,Single Stream,3.190880187416332,53.734939759036145,4.750548081714001
1526474,BU boathouse 619 Memorial Drive,Waste,5.052630585748792,33.729729729729726,11.983803312352906
1526475,277 Babcock St @ City Convenience,Single Stream,2.6722325485336635,63.407407407407405,3.371508355626585
1526475,277 Babcock St @ City Convenience,Waste,2.53818716006216,43.56643356643357,4.660812377385411
1526476,91 Bay State Rd,Single Stream,2.7656454248366016,28.235294117647058,7.835995370370372
1526476,91 Bay State Rd,Waste,5.640432736455463,26.74897119341564,16.869232676414494
1526477,100 Bay State Rd @ Bay State Road Entrance,Single Stream,2.0624854819976775,73.86759581881533,2.2337106918239
1526477,100 Bay State Rd @ Bay State Road Entrance,Waste,1.9929365997942385,46.327944572748265,3.4414418652478775
1526478,595 Comm Ave @ Silber Way,Single Stream,2.2077388672719414,63.735408560311285,2.771130104463438
1526478,595 Comm Ave @ Silber Way,Waste,2.123092349509414,38.476190476190474,4.414350429673039
1526479,580 Comm Ave Street,Single Stream,2.137803349378259,68.66425992779783,2.4907319780348174
1526479,580 Comm Ave Street,Waste,2.2060363247863246,45.67774936061381,3.863651525157684
1526480,595 Comm Ave Entrance Left Side,Single Stream,3.147784690799397,46.69683257918552,5.392716408268734
1526480,595 Comm Ave Entrance Left Side,Waste,2.890317536047498,30.722433460076047,7.526272395846455
1526481,285 Babcock St Case Center,Single Stream,2.8268270807708076,53.874538745387454,4.197644596651446
1526481,285 Babcock St Case Center,Waste,3.0960101010101013,45.97285067873303,5.387545136403404
1526482,120 Ashford St,Single Stream,5.999163832199546,38.97959183673469,12.312420011634671
1526482,120 Ashford St,Waste,7.305125941619586,36.80672268907563,15.877807982698279
1526483,34 Buswell St,Single Stream,1.8899328399122808,73.77049180327869,2.0495271686159846
1526483,34 Buswell St,Waste,2.085933806146572,55.55555555555556,3.0037446808510637
1526484,266 Bay State Rd-courtyard Behind 725 Comm,Single Stream,4.864213947990543,49.94708994708995,7.790986747205191
1526484,266 Bay State Rd-courtyard Behind 725 Comm,Waste,2.9131634078212287,40.67039106145251,5.730288461538461
1526485,264 Bay State Rd,Waste,3.547021251193887,46.91428571428571,6.0485137048373225
1526486,925 Comm Ave - Aggnis Arena Left Entrance @ Harry aggnis Way,Single Stream,2.793777233115468,60.09803921568628,3.718959579481602
1526486,925 Comm Ave - Aggnis Arena Left Entrance @ Harry aggnis Way,Waste,2.9569027777777777,51.82724252491694,4.564244800569801
1526487,270 Bay State Rd behind Marsh Chapel 735 Comm ave w/ recy 9521128,Single Stream,2.491496857258719,62.981818181818184,3.1647188718066865
1526487,270 Bay State Rd behind Marsh Chapel 735 Comm ave w/ recy 9521128,Waste,2.237208251150559,55.02958579881657,3.2523715651135006
1526488,765 Comm Ave - Behind Law School Auditorium (Access from BSR),Single Stream,5.091305865921788,36.77777777777778,11.074743877533798
1526488,765 Comm Ave - Behind Law School Auditorium (Access from BSR),Waste,4.047679924242424,27.575757575757574,11.742719780219781
1526490,180 Riverway,Single Stream,2.581695492662474,38.27956989247312,5.395453501519327
1526490,180 Riverway,Waste,1.2688239538239539,1.6623376623376624,61.06215277777778
1526499,278 Babcock St @ Gardner - New Balance Field Main Entrance,Single Stream,4.300225583864119,56.560509554140125,6.082301051051052
1526499,278 Babcock St @ Gardner - New Balance Field Main Entrance,Waste,5.235069444444444,41.20805369127517,10.163196706478464
1526500,226 Bay State Rd,Single Stream,2.5435209049255443,70.20547945205479,2.8983730897102786
1526500,226 Bay State Rd,Waste,1.9514509621353195,55.47486033519553,2.81417701689605
1526501,275 Babcock St - Sleeper Hall,Single Stream,2.8267996870109546,44.70175438596491,5.058950774242525
1526501,275 Babcock St - Sleeper Hall,Waste,2.4827479778629207,38.46743295019157,5.163324479858345
1526502,514 Park Dr,Single Stream,1.656914753233043,63.51543942992874,2.0869442366824567
1526502,514 Park Dr,Waste,2.072876492194674,45.16483516483517,3.6716644435954318
1526503,915 Comm Ave Behind Bldg Agganis Arena,Single Stream,6.728551454138702,38.25503355704698,14.070935672514619
1526503,915 Comm Ave Behind Bldg Agganis Arena,Waste,4.864938630490956,52.87356321839081,7.360863667003707
1526504,10 Buick St Access From 915 Comm Ave w/ recy 9521123,Single Stream,2.2647160947712415,68.45588235294117,2.646628475951784
1526504,10 Buick St Access From 915 Comm Ave w/ recy 9521123,Waste,2.3503093071519796,58.853868194842406,3.1947729238404707
1526505,Agganis Arena Garage Entrance - 925 Comm Ave (Outside),Single Stream,4.876990263459335,43.71134020618557,8.925812368972744
1526505,Agganis Arena Garage Entrance - 925 Comm Ave (Outside),Waste,4.601939439439439,52.857142857142854,6.965097529962396
1526506,210 Riverway,Single Stream,4.157146990740741,45.0,7.390483539094651
1526506,210 Riverway,Waste,0.3974206349206349,26.666666666666668,1.1922619047619045
1526506,700 Comm Ave Garage - 3C,Single Stream,5.317939814814815,94.5945945945946,4.4974576719576715
1526506,700 Comm Ave Garage - 3C,Waste,11.65872307256236,43.06122448979592,21.65980779357557
1526508,595 Comm Ave Garage P2 East,Waste,15.30613952020202,53.258426966292134,22.991500713889955
1526509,595 Comm Ave Garage P1 West,Waste,34.35895655270655,60.0,45.81194207027541
1526510,Agganis Arena Garage P1 East,Waste,5.6034775641025645,57.701149425287355,7.768964909592401
1526511,595 Comm Ave Garage P1 East,Waste,10.63876312335958,65.15625,13.062462156259244
1526512,700 Comm Ave Garage - 2B,Single Stream,7.388657407407408,84.44444444444444,6.9997807017543865
1526512,700 Comm Ave Garage - 2B,Waste,17.358645330112722,39.142857142857146,35.47752330242016
1526512,775 Comm ave - Rear Court Area,Waste,8.717261904761903,51.42857142857143,13.560185185185183
1526513,Agganis Arena Garage P1 West,Waste,9.326785078347578,50.06369426751592,14.903870303313688
1526515,595 Comm Ave Garage P3 West,Waste,23.29495929118774,45.08474576271186,41.33541648661885
1526516,595 Comm Ave Garage P2 West,Waste,22.21960648148148,48.52459016393443,36.632324199199196
1526517,700 Comm Ave Garage - 3B,Waste,11.56875,51.282051282051285,18.04725
1526517,Student Village,Waste,11.32307098765432,48.888888888888886,18.528661616161617
1526518,Agganis Arena Garage P1 West (North end),Waste,13.714021164021164,42.075471698113205,26.07508956746625
1526519,595 Comm Ave Garage P3 East,Waste,19.60546364379085,48.69565217391305,32.20897598622782
1526520,Agganis Arena Garage P2 West (Weak/No Signal-Frequent SNC),Waste,25.64940476190476,15.43859649122807,132.91055194805193
1526864,775 Commonwealth Ave @ University Road,Single Stream,2.7848540787623066,50.88607594936709,4.378178551686014
1526864,775 Commonwealth Ave @ University Road,Waste,4.7719308278867105,42.1875,9.048994755103688
1529881,100 East Newton St Front Entrance - Dental School,Single Stream,3.404742547425474,50.0,5.447588075880758
1529881,100 East Newton St Front Entrance - Dental School,Waste,2.578472222222222,10.200573065902578,20.222175405742824
1529882,635 Albany St - Front Entrance - Dental School,Single Stream,3.325276520864756,53.12217194570136,5.0077418133636185
1529882,635 Albany St - Front Entrance - Dental School,Waste,2.151645936981758,7.559523809523809,22.770174325224275
500002835,18 Granby St,Single Stream,4.598723290598291,79.23076923076923,4.643371089536139
500002835,18 Granby St,Waste,2.7856543624161074,44.8,4.974382790028764
500002836,665 Commonwealth Ave. Allyway Walk Way Jenga Building,Waste,9.167776537698414,37.16814159292036,19.73254759542706
500002837,665 Commonwealth Avenue At Granby - Jenga Building,Waste,4.317855067410507,41.5,8.323576033562423
500002838,665 Commonwealth Ave @ Jenga Building,Single Stream,4.330010683760683,46.76923076923077,7.406597222222222
500002838,665 Commonwealth Ave @ Jenga Building,Waste,5.440688361719384,24.92753623188406,17.460813812029652
500002839,665 Commonwealth Ave - @ Granby Jenga Building,Single Stream,3.7890151515151516,54.54545454545455,5.557222222222222
500002839,665 Commonwealth Ave - @ Granby Jenga Building,Waste,5.051422764227642,28.96969696969697,13.949535666904785
500002840,Behind 665 Comm Ave In Ally Way At Jenga Building,Single Stream,3.600771604938272,72.0,4.000857338820302
500002840,Behind 665 Comm Ave In Ally Way At Jenga Building,Waste,3.58739777213762,35.656565656565654,8.048779137487239
